id,original_final_answers_count,final_boxed_only_count,original_accuracy,recalculated_accuracy,accuracy_diff
mechanics/3_49,1,1,1.0,1.0,0.0
mechanics/2_9,1,1,1.0,1.0,0.0
mechanics/3_36,1,1,0.0,0.0,0.0
mechanics/3_31,1,1,0.0,0.0,0.0
mechanics/3_38,1,1,1.0,1.0,0.0
mechanics/2_7,1,1,1.0,1.0,0.0
mechanics/2_1,1,1,1.0,1.0,0.0
mechanics/3_39,1,1,1.0,1.0,0.0
mechanics/2_6,1,1,0.0,0.0,0.0
mechanics/3_30,1,1,0.0,0.0,0.0
mechanics/2_8,1,1,1.0,1.0,0.0
mechanics/3_37,1,1,0.0,0.0,0.0
mechanics/1_44,1,1,0.0,0.0,0.0
mechanics/1_43,1,1,0.0,0.0,0.0
mechanics/1_88,2,1,0.5,0.0,-0.5
mechanics/1_75,1,1,0.0,0.0,0.0
mechanics/1_81,1,1,1.0,1.0,0.0
mechanics/1_86,1,1,0.0,0.0,0.0
mechanics/1_72,1,1,1.0,1.0,0.0
mechanics/1_19,1,1,1.0,1.0,0.0
mechanics/1_26,1,1,0.0,0.0,0.0
mechanics/2_39,1,1,1.0,1.0,0.0
mechanics/1_21,1,1,0.0,0.0,0.0
mechanics/1_28,1,1,0.0,0.0,0.0
mechanics/1_17,1,1,0.0,0.0,0.0
mechanics/2_30,3,1,1.0,1.0,0.0
mechanics/2_37,1,1,1.0,1.0,0.0
mechanics/1_10,1,1,1.0,1.0,0.0
mechanics/1_73,1,1,0.0,0.0,0.0
mechanics/1_87,2,1,0.5,0.0,-0.5
mechanics/1_80,1,1,1.0,1.0,0.0
mechanics/1_74,2,1,0.0,0.0,0.0
mechanics/1_42,1,1,1.0,1.0,0.0
mechanics/1_89,1,1,1.0,1.0,0.0
mechanics/1_45,1,1,1.0,1.0,0.0
mechanics/1_11,1,1,1.0,1.0,0.0
mechanics/2_36,1,1,0.0,0.0,0.0
mechanics/1_29,2,1,0.0,0.0,0.0
mechanics/2_31,3,1,0.6666666666666666,0.0,-0.6666666666666666
mechanics/1_16,1,1,1.0,1.0,0.0
mechanics/2_38,1,1,0.0,0.0,0.0
mechanics/1_20,1,1,0.0,0.0,0.0
mechanics/1_18,1,1,1.0,1.0,0.0
mechanics/1_27,1,1,0.0,0.0,0.0
mechanics/2_44,1,1,0.0,0.0,0.0
mechanics/1_97,3,1,0.3333333333333333,0.0,-0.3333333333333333
mechanics/1_63,1,1,0.0,0.0,0.0
mechanics/1_64,2,1,0.0,0.0,0.0
mechanics/1_90,1,1,1.0,1.0,0.0
mechanics/2_43,1,1,1.0,1.0,0.0
mechanics/1_99,1,1,0.0,0.0,0.0
mechanics/1_52,1,1,0.0,0.0,0.0
mechanics/1_55,2,1,0.0,0.0,0.0
mechanics/2_26,1,1,0.0,0.0,0.0
mechanics/2_19,4,1,1.0,1.0,0.0
mechanics/3_7,1,1,0.0,0.0,0.0
mechanics/2_21,1,1,1.0,1.0,0.0
mechanics/1_39,2,1,0.5,0.0,-0.5
mechanics/1_3,1,1,1.0,1.0,0.0
mechanics/1_30,1,1,0.0,0.0,0.0
mechanics/2_17,1,1,0.0,0.0,0.0
mechanics/2_28,1,1,1.0,1.0,0.0
mechanics/2_10,1,1,0.0,0.0,0.0
mechanics/1_4,1,1,0.0,0.0,0.0
mechanics/1_37,1,1,1.0,1.0,0.0
mechanics/3_9,4,1,1.0,1.0,0.0
mechanics/1_54,1,1,0.0,0.0,0.0
mechanics/1_98,1,1,0.0,0.0,0.0
mechanics/1_53,1,1,0.0,0.0,0.0
mechanics/1_91,1,1,0.0,0.0,0.0
mechanics/2_42,1,1,0.0,0.0,0.0
mechanics/1_65,1,1,1.0,1.0,0.0
mechanics/1_62,1,1,1.0,1.0,0.0
mechanics/2_45,1,1,0.0,0.0,0.0
mechanics/1_96,1,1,1.0,1.0,0.0
mechanics/1_5,1,1,1.0,1.0,0.0
mechanics/1_36,1,1,0.0,0.0,0.0
mechanics/2_11,1,1,0.0,0.0,0.0
mechanics/3_8,1,1,0.0,0.0,0.0
mechanics/2_16,1,1,0.0,0.0,0.0
mechanics/1_2,1,1,0.0,0.0,0.0
mechanics/1_31,1,1,1.0,1.0,0.0
mechanics/2_29,1,1,0.0,0.0,0.0
mechanics/2_20,1,1,0.0,0.0,0.0
mechanics/3_6,1,1,0.0,0.0,0.0
mechanics/1_38,1,1,1.0,1.0,0.0
mechanics/3_1,1,1,1.0,1.0,0.0
mechanics/2_27,2,1,0.5,1.0,0.5
mechanics/2_18,1,1,0.0,0.0,0.0
mechanics/3_42,1,1,0.0,0.0,0.0
mechanics/3_45,1,1,0.0,0.0,0.0
mechanics/3_11,1,1,0.0,0.0,0.0
mechanics/3_16,1,1,0.0,0.0,0.0
mechanics/3_29,1,1,1.0,1.0,0.0
mechanics/3_20,1,1,0.0,0.0,0.0
mechanics/3_27,2,1,0.5,0.0,-0.5
mechanics/3_18,1,1,0.0,0.0,0.0
mechanics/3_44,3,1,0.3333333333333333,0.0,-0.3333333333333333
mechanics/3_43,1,1,1.0,1.0,0.0
mechanics/3_26,1,1,1.0,1.0,0.0
mechanics/3_19,1,1,0.0,0.0,0.0
mechanics/3_21,2,1,0.0,0.0,0.0
mechanics/3_17,1,1,0.0,0.0,0.0
mechanics/3_28,1,1,0.0,0.0,0.0
mechanics/3_10,1,1,0.0,0.0,0.0
mechanics/3_32,1,1,1.0,1.0,0.0
mechanics/3_35,7,1,0.2857142857142857,0.0,-0.2857142857142857
mechanics/2_3,1,1,1.0,1.0,0.0
mechanics/2_4,1,1,0.0,0.0,0.0
mechanics/3_50,2,1,0.5,0.0,-0.5
mechanics/2_5,1,1,1.0,1.0,0.0
mechanics/2_2,1,1,0.0,0.0,0.0
mechanics/3_34,1,1,0.0,0.0,0.0
mechanics/3_33,1,1,0.0,0.0,0.0
mechanics/1_22,1,1,0.0,0.0,0.0
mechanics/1_25,1,1,0.0,0.0,0.0
mechanics/2_34,1,1,1.0,1.0,0.0
mechanics/1_13,1,1,1.0,1.0,0.0
mechanics/1_14,1,1,0.0,0.0,0.0
mechanics/2_33,1,1,0.0,0.0,0.0
mechanics/1_40,1,1,0.0,0.0,0.0
mechanics/1_47,4,1,0.5,0.0,-0.5
mechanics/1_78,1,1,1.0,1.0,0.0
mechanics/1_85,1,1,1.0,1.0,0.0
mechanics/1_71,1,1,0.0,0.0,0.0
mechanics/1_76,1,1,0.0,0.0,0.0
mechanics/1_82,1,1,0.0,0.0,0.0
mechanics/1_49,1,1,0.0,0.0,0.0
mechanics/2_32,1,1,0.0,0.0,0.0
mechanics/1_15,1,1,1.0,1.0,0.0
mechanics/1_12,1,1,0.0,0.0,0.0
mechanics/2_35,1,1,0.0,0.0,0.0
mechanics/1_24,1,1,0.0,0.0,0.0
mechanics/1_23,1,1,0.0,0.0,0.0
mechanics/2_50,1,1,0.0,0.0,0.0
mechanics/1_83,1,1,0.0,0.0,0.0
mechanics/1_77,3,1,0.3333333333333333,0.0,-0.3333333333333333
mechanics/1_100,1,1,0.0,0.0,0.0
mechanics/1_48,1,1,0.0,0.0,0.0
mechanics/1_70,1,1,1.0,1.0,0.0
mechanics/1_84,1,1,1.0,1.0,0.0
mechanics/1_46,3,1,0.3333333333333333,0.0,-0.3333333333333333
mechanics/1_79,1,1,0.0,0.0,0.0
mechanics/1_41,1,1,0.0,0.0,0.0
Classical Mechanics/2-1,3,1,0.6666666666666666,0.0,-0.6666666666666666
Classical Mechanics/2-16,1,1,1.0,1.0,0.0
Classical Mechanics/2-11,1,1,0.0,0.0,0.0
Classical Mechanics/2-6,1,1,1.0,1.0,0.0
Classical Mechanics/2-18,1,1,0.0,0.0,0.0
Classical Mechanics/2-20,1,1,1.0,1.0,0.0
Classical Mechanics/2-8,3,1,0.0,0.0,0.0
Classical Mechanics/2-21,1,1,0.0,0.0,0.0
Classical Mechanics/2-9,1,1,0.0,0.0,0.0
Classical Mechanics/2-19,1,1,0.0,0.0,0.0
Classical Mechanics/2-7,1,1,0.0,0.0,0.0
Classical Mechanics/2-10,1,1,0.0,0.0,0.0
Classical Mechanics/2-17,6,1,0.0,0.0,0.0
Classical Mechanics/2-12,1,1,0.0,0.0,0.0
Classical Mechanics/2-5,1,1,0.0,0.0,0.0
Classical Mechanics/2-2,3,1,0.3333333333333333,1.0,0.6666666666666667
Classical Mechanics/2-15,1,1,0.0,0.0,0.0
Classical Mechanics/2-14,1,1,0.0,0.0,0.0
Classical Mechanics/2-3,1,1,0.0,0.0,0.0
Classical Mechanics/2-4,7,1,0.7142857142857143,1.0,0.2857142857142857
Classical Mechanics/2-13,4,1,0.25,0.0,-0.25
