Entry ID,Accuracy,Prompt Tokens,Completion Tokens,Total Tokens
mechanics/1_52,0.0,439,629,1068
mechanics/1_55,0,,,
mechanics/2_26,0.0,256,979,1235
mechanics/2_19,0.0,232,1382,1614
mechanics/3_7,0.0,139,571,710
mechanics/2_21,0,,,
mechanics/1_39,0,,,
mechanics/1_3,0.0,415,480,895
mechanics/1_30,0.0,397,730,1127
mechanics/2_17,0.0,201,1143,1344
mechanics/2_28,0,,,
mechanics/2_10,0,,,
mechanics/1_4,0,,,
mechanics/1_37,0.0,165,882,1047
mechanics/3_9,0,,,
mechanics/1_54,0,,,
mechanics/1_98,1.0,189,916,1105
mechanics/1_53,0,,,
mechanics/1_91,0.0,416,889,1305
mechanics/2_42,0,,,
mechanics/1_65,0,,,
mechanics/1_62,0,,,
mechanics/2_45,0,,,
mechanics/1_96,0,,,
mechanics/1_5,0,,,
mechanics/1_36,0,,,
mechanics/2_11,0,,,
mechanics/3_8,0,,,
mechanics/2_16,0,,,
mechanics/1_2,0,,,
mechanics/1_31,0,,,
mechanics/2_29,0,,,
mechanics/2_20,0,,,
mechanics/3_6,0,,,
mechanics/1_38,0,,,
mechanics/3_1,0,,,
mechanics/2_27,0,,,
mechanics/2_18,0,,,
mechanics/3_42,0,,,
mechanics/3_45,0,,,
mechanics/3_11,0,,,
mechanics/3_16,0,,,
mechanics/3_29,0,,,
mechanics/3_20,0,,,
mechanics/3_27,0,,,
mechanics/3_18,0,,,
mechanics/3_44,0,,,
mechanics/3_43,0,,,
mechanics/3_26,0,,,
mechanics/3_19,0,,,
mechanics/3_21,0,,,
mechanics/3_17,0,,,
mechanics/3_28,0,,,
mechanics/3_10,0,,,
mechanics/3_32,0,,,
mechanics/3_35,0,,,
mechanics/2_3,0,,,
mechanics/2_4,0,,,
mechanics/3_50,0,,,
mechanics/2_5,0,,,
mechanics/2_2,0,,,
mechanics/3_34,0,,,
mechanics/3_33,0,,,
mechanics/1_22,0,,,
mechanics/1_25,0,,,
mechanics/2_34,0,,,
mechanics/1_13,0,,,
mechanics/1_14,0,,,
mechanics/2_33,0,,,
mechanics/1_40,0,,,
mechanics/1_47,0,,,
mechanics/1_78,0,,,
mechanics/1_85,0,,,
mechanics/1_71,0,,,
mechanics/1_76,0,,,
mechanics/1_82,0,,,
mechanics/1_49,0,,,
mechanics/2_32,0,,,
mechanics/1_15,0,,,
mechanics/1_12,0,,,
mechanics/2_35,0,,,
mechanics/1_24,0,,,
mechanics/1_23,0,,,
mechanics/2_50,0,,,
mechanics/1_83,0,,,
mechanics/1_77,0,,,
mechanics/1_100,0,,,
mechanics/1_48,0,,,
mechanics/1_70,0,,,
mechanics/1_84,0,,,
mechanics/1_46,0,,,
mechanics/1_79,0,,,
mechanics/1_41,0,,,
Classical Mechanics/2-1,0,,,
Classical Mechanics/2-16,0,,,
Classical Mechanics/2-11,0,,,
Classical Mechanics/2-6,0,,,
Classical Mechanics/2-18,0,,,
Classical Mechanics/2-20,0,,,
Classical Mechanics/2-8,0,,,
Classical Mechanics/2-21,0,,,
Classical Mechanics/2-9,0,,,
Classical Mechanics/2-19,0,,,
Classical Mechanics/2-7,0,,,
Classical Mechanics/2-10,0,,,
Classical Mechanics/2-17,0,,,
Classical Mechanics/2-12,0,,,
Classical Mechanics/2-5,0,,,
Classical Mechanics/2-2,0,,,
Classical Mechanics/2-15,0,,,
Classical Mechanics/2-14,0,,,
Classical Mechanics/2-3,0,,,
Classical Mechanics/2-4,0,,,
Classical Mechanics/2-13,0,,,
